# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |                                psi_group_change() {
   0)   0.116 us    |                                  record_times();
   0)   0.382 us    |                                }
   0)               |                                psi_group_change() {
   0)   0.131 us    |                                  record_times();
   0)   0.400 us    |                                }
   0)   3.978 us    |                              }
   0)               |                              enqueue_task_fair() {
   0)               |                                enqueue_entity() {
   0)   0.119 us    |                                  update_curr();
   0)   0.139 us    |                                  __update_load_avg_se();
   0)   0.148 us    |                                  __update_load_avg_cfs_rq();
   0)   0.118 us    |                                  update_cfs_group();
   0)   0.129 us    |                                  account_entity_enqueue();
   0)   1.473 us    |                                }
   0)               |                                enqueue_entity() {
   0)               |                                  update_curr() {
   0)   0.122 us    |                                    update_min_vruntime();
   0)   0.133 us    |                                    cpuacct_charge();
   0)   0.617 us    |                                  }
   0)   0.133 us    |                                  __update_load_avg_se();
   0)   0.145 us    |                                  __update_load_avg_cfs_rq();
   0)               |                                  update_cfs_group() {
   0)   0.113 us    |                                    reweight_entity();
   0)   0.389 us    |                                  }
   0)   0.135 us    |                                  account_entity_enqueue();
   0)   2.194 us    |                                }
   0)   0.124 us    |                                hrtick_update();
   0)   4.332 us    |                              }
   0)               |                              ttwu_do_wakeup() {
   0)               |                                check_preempt_curr() {
   0)               |                                  check_preempt_wakeup() {
   0)   0.137 us    |                                    update_curr();
   0)   0.380 us    |                                  }
   0)   0.621 us    |                                }
   0)   0.916 us    |                              }
   0)   9.747 us    |                            }
   0)   0.132 us    |                            _raw_spin_unlock_irqrestore();
   0)   0.123 us    |                            ttwu_stat();
   0) + 12.649 us   |                          }
   0) + 12.900 us   |                        }
   0) + 13.167 us   |                      }
   0) + 13.463 us   |                    }
   0)   0.129 us    |                    _raw_spin_unlock_irqrestore();
   0) + 14.196 us   |                  }
   0) + 14.450 us   |                }
   0) + 15.225 us   |              }
   0)   0.488 us    |              up_read();
   0) + 17.741 us   |            }
   0) + 17.956 us   |          }
   0) + 18.234 us   |        }
   0)               |        tty_ldisc_deref() {
   0)   0.142 us    |          ldsem_up_read();
   0)   0.402 us    |        }
   0) + 19.545 us   |      }
   0)   0.134 us    |      mutex_unlock();
   0) + 20.673 us   |    }
   0)               |    _cond_resched() {
   0)   0.119 us    |      rcu_all_qs();
   0)   0.352 us    |    }
   0)   0.124 us    |    _raw_spin_lock_irq();
   0)   0.127 us    |    pwq_dec_nr_in_flight();
   0) + 21.924 us   |  }
   0)   0.143 us    |  worker_enter_idle();
   0)               |  schedule() {
   0)               |    wq_worker_sleeping() {
   0)   0.131 us    |      kthread_data();
   0)   0.353 us    |    }
   0)               |    rcu_note_context_switch() {
   0)   0.120 us    |      rcu_qs();
   0)   0.345 us    |    }
   0)   0.111 us    |    _raw_spin_lock();
   0)   0.156 us    |    update_rq_clock();
   0)               |    psi_task_change() {
   0)   0.126 us    |      psi_flags_change();
   0)               |      wq_worker_last_func() {
